group1,group2,weight
19292162,535553,2
19292162,19194894,1
19292162,19728145,1
19292162,18850080,2
19292162,1728035,1
19292162,22817838,2
19292162,19997487,2
19292162,18855476,2
19292162,18955830,1
19292162,11294262,1
19292162,1360698,2
19292162,1179719,1
19292162,1457232,1
19292162,13560402,1
19292162,7151442,1
19292162,18506072,1
19292162,16477792,2
19292162,20947040,1
19292162,5618532,1
19292162,11625832,5
19292162,18837102,1
19292162,7130232,1
19292162,3173762,1
19292162,16487812,5
19292162,7836842,6
19292162,17467312,3
19292162,16447162,1
19292162,9376702,3
19292162,6707902,2
19292162,10178242,12
19292162,14546632,1
19292162,14649032,1
19292162,4705492,1
19292162,18616278,1
19292162,526316,2
19292162,10016242,5
19292162,19654655,1
21182471,1187715,1
21182471,25357512,1
21182471,19728145,2
21182471,7699922,1
21182471,20940321,1
21182471,18801828,1
21182471,1642477,1
21182471,18243826,1
21182471,18297014,2
21182471,1473660,1
18288648,21715712,1
18288648,18562307,1
18288648,541319,1
18288648,19728145,2
18288648,7836842,2
18288648,17467312,1
18288648,1697586,1
18288648,18955830,1
18288648,4063542,1
18288648,18767675,1
18288648,339011,1
18288648,18556100,1
18288648,16062152,2
18288648,1417288,1
18288648,22985677,1
18288648,1457232,1
18288648,19266390,1
18288648,18506072,1
18288648,1498076,1
18288648,21174496,1
18288648,20947040,1
18288648,18529135,1
18288648,19094001,1
18288648,18243826,1
18288648,15297782,1
18288648,18414590,1
20064276,1358081,1
20064276,6928642,2
20064276,18456837,1
20064276,12847372,1
20064276,19728145,3
20064276,19262745,2
20064276,19416348,1
20064276,2520612,1
20064276,1585196,1
20064276,18955830,2
20064276,20181560,2
20064276,3636792,1
20064276,339011,1
20064276,1665349,1
20064276,19049542,1
20064276,1179719,1
20064276,1431882,1
20064276,24584525,1
20064276,1457232,1
20064276,5282132,2
20064276,1371991,2
20064276,21933145,1
20064276,20377949,1
20064276,20129636,1
20064276,19934054,1
20064276,24153712,1
20064276,24811380,1
20064276,929402,2
20064276,1473660,2
20064276,1187715,2
20064276,10426762,1
20064276,1492619,3
20064276,20068490,1
20064276,6230672,3
20064276,19713173,1
20064276,18801828,1
20064276,20186791,1
20064276,23723436,1
20064276,18589616,1
20064276,18297014,2
20064276,4126912,1
20064276,18953664,1
20064276,20384452,1
20064276,1751502,1
20064276,24675279,1
20064276,7699922,1
20064276,6284242,2
20064276,4705492,1
20064276,1576921,1
20064276,11077852,3
20064276,20836828,1
20064276,22197221,1
20064276,22422502,2
20064276,20197351,1
20064276,1642477,3
20064276,18361585,1
