event_id,member_id,group_id
243930425,6770985,26140018
244208851,234724627,25604533
pxlktnywnbfb,199563568,25973656
pxlktnywnbfb,208888939,25973656
244444551,1720391,18571126
244257722,1720391,18571126
243997614,1720391,18571126
243711748,1720391,18571126
243587675,1720391,18571126
243587675,194158019,18571126
243587675,186264694,18571126
243026202,1720391,18571126
243475377,1720391,18571126
243475377,194158019,18571126
243026119,1720391,18571126
242392448,1720391,18571126
241886029,1720391,18571126
241730271,1720391,18571126
240193613,1720391,18571126
239944117,1720391,18571126
238479980,1720391,18571126
237736080,1720391,18571126
234178292,1720391,18571126
234178292,186264694,18571126
234008415,1720391,18571126
234008415,194158019,18571126
234008415,186264694,18571126
233855117,1720391,18571126
233855117,194158019,18571126
233855117,186264694,18571126
233579762,1720391,18571126
233579670,1720391,18571126
233476897,1720391,18571126
233235249,1720391,18571126
232668583,1720391,18571126
232543768,1720391,18571126
231460443,1720391,18571126
231912692,1720391,18571126
231274089,1720391,18571126
231104506,1720391,18571126
231090426,1720391,18571126
230900387,1720391,18571126
230972361,1720391,18571126
230934372,1720391,18571126
239499597,125145522,18821254
239945716,125145522,18821254
236180427,125145522,18821254
233471167,125145522,18821254
233830558,125145522,18821254
232878772,125145522,18821254
231005223,125145522,18821254
230056380,125145522,18821254
227618948,125145522,18821254
227618936,125145522,18821254
227044616,125145522,18821254
226349699,125145522,18821254
244446326,1720391,20586888
244262821,1720391,20586888
243988264,1720391,20586888
243869312,1720391,20586888
243711769,1720391,20586888
243240368,1720391,20586888
243075137,1720391,20586888
242775576,1720391,20586888
241779221,1720391,20586888
240191942,1720391,20586888
240041511,1720391,20586888
nvrmwnywnbzb,13385553,26290037
zmrsvnywnbkb,208888939,25924179
243717563,236234217,26069682
zjjbvnywnbmb,236234217,26069682
243649886,162878732,24924087
242809790,162878732,24924087
242809790,228129103,24924087
242094947,162878732,24924087
241556640,73107772,24924087
241556640,231990970,24924087
241556640,106178752,24924087
241556640,162878732,24924087
240463114,228164044,24107423
pjpnwnywnbwb,88583272,26296592
thpnwnywnbwb,88583272,26296592
243191812,183856769,25828941
243191812,234044722,25828941
244176688,174329642,26207526
244176688,61526062,26207526
244176688,58264912,26207526
244260247,13371408,24811380
243952541,13371408,24811380
242620496,13371408,24811380
243534371,13371408,24811380
241622756,13371408,24811380
242493691,13371408,24811380
241622468,13371408,24811380
241361103,13371408,24811380
240244969,228221722,23972116
nwnntnywnbgc,191532521,25996638
nwnntnywnbgc,225854465,25996638
nwnntnywnbgc,232241567,25996638
cjvbwnywnbgc,191532521,25996638
cjvbwnywnbgc,225854465,25996638
cjvbwnywnbgc,232241567,25996638
nwnntnywnbwb,191532521,25996638
nwnntnywnbwb,225854465,25996638
nwnntnywnbwb,232241567,25996638
cjvbwnywnbwb,191532521,25996638
cjvbwnywnbwb,225854465,25996638
nwnntnywnbnb,191532521,25996638
nwnntnywnbnb,225854465,25996638
nwnntnywnbnb,232241567,25996638
nwnntnywnbnb,223039509,25996638
nwnntnywnbfb,191532521,25996638
nwnntnywnbfb,201164832,25996638
nwnntnywnbfb,225854465,25996638
zwgntnywnbjc,233389780,25988957
zwgntnywnbzb,233389780,25988957
241215543,191910306,24750651
244479480,186008461,26282355
244293547,184360544,26282355
244246979,184360544,26282355
244246979,163094212,26282355
241173421,230218823,23968092
241173421,6593526,23968092
241173421,202633909,23968092
241173421,11288886,23968092
240970877,11288886,23968092
244441929,235261229,25707458
243852102,235261229,25707458
243658466,235261229,25707458
243468926,235261229,25707458
242971373,235261229,25707458
233512149,191433023,20337962
243739470,237624833,26079417
243739470,237625764,26079417
243739470,134794692,26079417
243739470,1575535,26079417
243739470,238162135,26079417
wnbpkmywnbkc,197580884,21651228
wnbpkmywmbmc,197580884,21651228
wnbpkmywmbmc,233911212,21651228
wnbpkmywlbhc,197580884,21651228
wnbpkmywkblc,197580884,21651228
wnbpkmywhbjc,197580884,21651228
wnbpkmywgblc,197580884,21651228
wnbpkmywfbpc,197580884,21651228
wnbpkmywfbgb,197580884,21651228
